arm,file,line,column,coordinate,reference,candidate,absolute_error,allowed,bound_fraction
stock-trace,5_Kmimic_1_lensedCls.dat,3227,2,3227.0,1011.47,1011.3,0.17000000000007276,0.20114700000000002,0.8451530472742459
stock-trace,5_Kmimic_1_lensedtotCls.dat,3227,2,3227.0,1011.47,1011.3,0.17000000000007276,0.20114700000000002,0.8451530472742459
stock-trace,5_Kmimic_1_lenspotentialCls.dat,3395,2,3395.0,611.578,611.847,0.26900000000000546,0.16115780000000002,1.669171458036815
stock-trace,5_Kmimic_1_matterpower.dat,409,2,0.342892,2623.58,2621.31,2.269999999999982,1.2623579999999999,1.7982220574512
stock-trace,5_Kmimic_1_scalCls.dat,1709,5,1709.0,150012.0,150023.0,11.0,115.0012,0.0956511758138176
stock-trace,5_Kmimic_1_scalarCovCls.dat,3395,2,3395.0,611.578,611.847,0.26900000000000546,0.16115780000000002,1.669171458036815
stock-trace,5_Kmimic_1_totCls.dat,3395,2,3395.0,611.578,611.847,0.26900000000000546,0.16115780000000002,1.669171458036815
stock-trace,5_Kmimic_1_transfer_out.dat,146,7,0.339693,931482.0,931095.0,387.0,1093.1482,0.3540233611508485
stock-trace,5_Kmimic_2_lensedCls.dat,2931,2,2931.0,1386.07,1386.4,0.3300000000001546,0.238607,1.383027321076727
stock-trace,5_Kmimic_2_lensedtotCls.dat,2880,2,2880.0,1329.49,1329.81,0.31999999999993634,0.23294900000000002,1.3736912371374692
stock-trace,5_Kmimic_2_lenspotentialCls.dat,3030,2,3030.0,1651.24,1651.67,0.43000000000006366,0.265124,1.6218825907879468
stock-trace,5_Kmimic_2_matterpower.dat,405,2,0.316529,4201.88,4205.28,3.399999999999636,1.420188,2.3940492385512595
stock-trace,5_Kmimic_2_scalCls.dat,313,5,313.0,1009940.0,1009950.0,10.0,200.994,0.0497527289371822
stock-trace,5_Kmimic_2_scalarCovCls.dat,3016,2,3016.0,1624.86,1625.28,0.42000000000007276,0.262486,1.6000853378849644
stock-trace,5_Kmimic_2_totCls.dat,3030,2,3030.0,1651.24,1651.67,0.43000000000006366,0.265124,1.6218825907879468
stock-trace,5_Kmimic_2_transfer_out.dat,146,2,0.341458,868578.0,868154.0,424.0,1086.8578,0.3901154318439818
stock-trace,5_Kmimic_3_lensedCls.dat,3010,2,3010.0,64.4779,64.4717,0.006200000000006867,0.10644779,0.058244515926604644
stock-trace,5_Kmimic_3_lensedtotCls.dat,3004,2,3004.0,64.6575,64.6513,0.006199999999992656,0.10646575000000001,0.05823469049898822
stock-trace,5_Kmimic_3_lenspotentialCls.dat,3089,2,3089.0,65.0023,64.9949,0.00740000000000407,0.10650023,0.06948341801706973
